name,dev0,dev1
Image_w1920_h1200_fn340.jpg,[ 659. 1184.],[1186.5  650.5]
Image_w1920_h1200_fn341.jpg,[ 659. 1184.],[1186.5  650.5]
Image_w1920_h1200_fn342.jpg,[ 659. 1184.],[1186.5  650.5]
Image_w1920_h1200_fn343.jpg,[ 659. 1184.],[1186.5  650.5]
Image_w1920_h1200_fn344.jpg,[ 659. 1184.],[1186.5  650.5]
Image_w1920_h1200_fn345.jpg,[ 659. 1184.],[1186.5  650.5]
Image_w1920_h1200_fn346.jpg,[ 659. 1184.],[1186.5  650.5]
Image_w1920_h1200_fn347.jpg,[ 659. 1184.],[1186.5  650.5]
Image_w1920_h1200_fn348.jpg,[ 659. 1184.],[1186.5  650.5]
Image_w1920_h1200_fn349.jpg,[ 659. 1184.],[1186.5  650.5]
Image_w1920_h1200_fn350.jpg,[ 659. 1184.],[1186.5  650.5]
Image_w1920_h1200_fn351.jpg,[ 659. 1184.],[1186.5  650.5]
Image_w1920_h1200_fn352.jpg,[ 659. 1184.],[1186.5  650.5]
Image_w1920_h1200_fn353.jpg,[ 659. 1184.],[1186.5  650.5]
Image_w1920_h1200_fn354.jpg,[ 659. 1184.],[1186.5  650.5]
Image_w1920_h1200_fn355.jpg,[ 659. 1184.],[1186.5  650.5]
Image_w1920_h1200_fn356.jpg,[ 659. 1184.],[1186.5  650.5]
Image_w1920_h1200_fn357.jpg,[ 659. 1184.],[1186.5  650.5]
Image_w1920_h1200_fn358.jpg,[ 659. 1184.],[1186.5  650.5]
Image_w1920_h1200_fn359.jpg,[ 659. 1184.],[1186.5  650.5]
Image_w1920_h1200_fn360.jpg,[ 659. 1184.],[1186.5  650.5]
Image_w1920_h1200_fn361.jpg,[ 659. 1184.],[1186.5  650.5]
Image_w1920_h1200_fn362.jpg,[ 659. 1184.],[1186.5  650.5]
Image_w1920_h1200_fn363.jpg,[ 659. 1184.],[1186.5  650.5]
Image_w1920_h1200_fn364.jpg,[ 659. 1184.],[1186.5  650.5]
Image_w1920_h1200_fn365.jpg,[ 659. 1184.],[1186.5  650.5]
Image_w1920_h1200_fn366.jpg,[ 659. 1184.],[1186.5  650.5]
Image_w1920_h1200_fn367.jpg,[ 659. 1184.],[1186.5  650.5]
Image_w1920_h1200_fn368.jpg,[ 659. 1184.],[1186.5  650.5]
